"year","stations_reporting_nebel","nebel_station_days","stations_reporting_gew","gew_station_days"
1990,10,3650,10,3650
1991,10,3650,10,3650
1992,10,3660,10,3660
1993,10,3620,10,3620
1994,10,3558,10,3558
1995,10,3650,10,3650
1996,10,3476,10,3476
1997,8,2675,8,2675
1998,8,2920,8,2920
1999,9,3134,9,3134
2000,9,3294,9,3294
2001,10,3560,10,3560
2002,10,3650,10,3650
2003,10,3650,10,3650
2004,10,3660,10,3660
2005,10,3650,10,3650
2006,10,3650,10,3650
2007,10,3650,10,3650
2008,8,2928,8,2928
2009,8,2920,8,2920
2010,8,2920,8,2920
2011,8,2920,8,2920
2012,8,2928,8,2928
2013,8,2889,8,2889
2014,7,2555,7,2555
2015,7,2555,7,2555
2016,7,2562,7,2562
2017,7,2555,7,2555
2018,7,2405,7,2405
2019,7,2554,9,3285
2020,7,2502,9,3294
2021,7,2555,9,3285
2022,7,2433,9,3250
2023,7,2214,9,3285
2024,7,2271,9,3294
2025,6,2073,9,3285
