"year","station_days","fog_days","fog_days_per_station","fog_pct"
1990,2190,175,29.17,7.991
1991,2190,172,28.67,7.854
1992,2196,159,26.5,7.24
1993,2190,199,33.17,9.087
1994,2190,184,30.67,8.402
1995,2190,216,36,9.863
1996,2196,214,35.67,9.745
1997,2190,218,36.33,9.954
1998,2190,162,27,7.397
1999,2190,161,26.83,7.352
2000,2196,180,30,8.197
2001,2190,123,20.5,5.616
2002,2190,117,19.5,5.342
2003,2190,173,28.83,7.9
2004,2196,146,24.33,6.648
2005,2190,143,23.83,6.53
2006,2190,154,25.67,7.032
2007,2190,111,18.5,5.068
2008,2196,116,19.33,5.282
2009,2190,128,21.33,5.845
2010,2190,114,19,5.205
2011,2190,172,28.67,7.854
2012,2196,108,18,4.918
2013,2159,119,19.83,5.512
2014,2190,133,22.17,6.073
2015,2190,101,16.83,4.612
2016,2196,98,16.33,4.463
2017,2190,76,12.67,3.47
2018,2040,86,14.33,4.216
2019,2189,68,11.33,3.106
2020,2136,111,18.5,5.197
2021,2190,101,16.83,4.612
2022,2068,86,14.33,4.159
2023,1849,33,5.5,1.785
2024,1905,62,10.33,3.255
