"year","station_days","fog","thunder","fog_pct","thunder_pct"
1990,2190,175,230,7.991,10.502
1991,2190,172,174,7.854,7.945
1992,2196,159,179,7.24,8.151
1993,2190,199,272,9.087,12.42
1994,2190,184,237,8.402,10.822
1995,2190,216,178,9.863,8.128
1996,2196,214,183,9.745,8.333
1997,2190,218,205,9.954,9.361
1998,2190,162,203,7.397,9.269
1999,2190,161,210,7.352,9.589
2000,2196,180,210,8.197,9.563
2001,2190,123,146,5.616,6.667
2002,2190,117,197,5.342,8.995
2003,2190,173,176,7.9,8.037
2004,2196,146,148,6.648,6.74
2005,2190,143,131,6.53,5.982
2006,2190,154,172,7.032,7.854
2007,2190,111,174,5.068,7.945
2008,2196,116,182,5.282,8.288
2009,2190,128,199,5.845,9.087
2010,2190,114,136,5.205,6.21
2011,2190,172,153,7.854,6.986
2012,2196,108,186,4.918,8.47
2013,2159,119,106,5.512,4.91
2014,2190,133,174,6.073,7.945
2015,2190,101,122,4.612,5.571
2016,2196,98,158,4.463,7.195
2017,2190,76,195,3.47,8.904
2018,2040,86,194,4.216,9.51
2019,2189,68,94,3.106,4.294
2020,2136,111,89,5.197,4.167
2021,2190,101,120,4.612,5.479
2022,2068,86,101,4.159,4.884
2023,1849,33,83,1.785,4.489
2024,1905,62,120,3.255,6.299
