"label","change"
"1990-1999 vs 2010-2019",-41.8
"1991-2000 vs 2010-2019",-41.9
"1992-2001 vs 2010-2019",-40.3
"1993-2002 vs 2010-2019",-38.9
"1994-2003 vs 2010-2019",-38
"1995-2004 vs 2010-2019",-36.6
"1990-1999 vs 2011-2020",-41.8
"1991-2000 vs 2011-2020",-41.9
"1992-2001 vs 2011-2020",-40.4
"1993-2002 vs 2011-2020",-39
"1994-2003 vs 2011-2020",-38
"1995-2004 vs 2011-2020",-36.7
"1990-1999 vs 2012-2021",-45.6
"1991-2000 vs 2012-2021",-45.7
"1992-2001 vs 2012-2021",-44.3
"1993-2002 vs 2012-2021",-43
"1994-2003 vs 2012-2021",-42.1
"1995-2004 vs 2012-2021",-40.8
"1990-1999 vs 2013-2022",-46.5
"1991-2000 vs 2013-2022",-46.6
"1992-2001 vs 2013-2022",-45.2
"1993-2002 vs 2013-2022",-43.9
"1994-2003 vs 2013-2022",-43.1
"1995-2004 vs 2013-2022",-41.8
"1990-1999 vs 2014-2023",-50.9
"1991-2000 vs 2014-2023",-51
"1992-2001 vs 2014-2023",-49.7
"1993-2002 vs 2014-2023",-48.5
"1994-2003 vs 2014-2023",-47.7
"1995-2004 vs 2014-2023",-46.6
"1990-1999 vs 2015-2024",-54.2
"1991-2000 vs 2015-2024",-54.3
"1992-2001 vs 2015-2024",-53.1
"1993-2002 vs 2015-2024",-52
"1994-2003 vs 2015-2024",-51.3
"1995-2004 vs 2015-2024",-50.2
